'-skip-logged'	'Download -skip-logged failed: '
'PosixTimeZone'	"pkgsys.setup_args failed: Unrecognized license: Copyright (c) 1999, Stuart Bishop <zen@shangri-la.dropbear.id.au> \nAll rights reserved.\n\nRedistribution and use in source and binary forms, with or without\nmodification, are permitted provided that the following conditions are\nmet:\n\n    Redistributions of source code must retain the above copyright\n    notice, this list of conditions and the following disclaimer.\n\n    Redistributions in binary form must reproduce the above copyright\n    notice, this list of conditions and the following disclaimer in the\n    documentation and/or other materials provided with the\n    distribution.\n\n    The name of Stuart Bishop may not be used to endorse or promote \n    products derived from this software without specific prior written \n    permission.\n\nTHIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS\n``AS IS'' AND ANY EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT\nLIMITED TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A\nPARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE REGENTS OR\nCONTRIBUTORS BE LIABLE FOR ANY DIRECT, INDIRECT, INCIDENTAL, SPECIAL,\nEXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO,\nPROCUREMENT OF SUBSTITUTE GOODS OR SERVICES; LOSS OF USE, DATA, OR\nPROFITS; OR BUSINESS INTERRUPTION) HOWEVER CAUSED AND ON ANY THEORY OF\nLIABILITY, WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING\nNEGLIGENCE OR OTHERWISE) ARISING IN ANY WAY OUT OF THE USE OF THIS\nSOFTWARE, EVEN IF ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.\n\n"
'Posterity'	'OK!'
'ProcImap'	'OK!'
'Proctor'	'OK!'
'Products.ATContentTypes'	'Download Products.ATContentTypes failed: None'
'Products.ATExtensions'	'OK!'
'Products.ATReferenceBrowserWidget'	'OK!'
'Products.ATSuccessStory'	'OK!'
'Products.ATTalesExpressionCriterion'	'OK!'
'Products.ATVocabularyManager'	'OK!'
'Products.AddRemoveWidget'	'OK!'
'Products.AdvancedQuery'	'OK!'
'Products.Andreas09Theme'	'OK!'
'Products.ArchAddOn'	'OK!'
'Products.CAS4PAS'	'OK!'
'Products.CCSQLMethods'	'OK!'
'Products.CMFActionIcons'	'OK!'
'Products.CMFCalendar'	'OK!'
'Products.CMFCore'	'OK!'
'Products.CMFDefault'	'OK!'
'Products.CMFDiffTool'	'Download Products.CMFDiffTool failed: None'
'Products.CMFDynamicViewFTI'	'OK!'
'Products.CMFEditions'	'Download Products.CMFEditions failed: None'
'Products.CMFFormController'	'OK!'
'Products.CMFPlacefulWorkflow'	'OK!'
'Products.CMFQuickInstallerTool'	'OK!'
'Products.CMFSquidTool'	'OK!'
'Products.CMFTopic'	'OK!'
'Products.CMFUid'	'OK!'
'Products.CSSManager'	'OK!'
'Products.CacheSetup'	'OK!'
'Products.ClockServer'	'Download Products.ClockServer failed: MD5 validation failed for Products.ClockServer-0.2-Zope2.9dev.tar.gz; possible download problem?'
'Products.Clouseau'	'Download Products.Clouseau failed: None'
'Products.Collage'	'OK!'
'Products.DCWorkflow'	'OK!'
'Products.DataGridField'	'OK!'
'Products.DocFinderTab'	'Download Products.DocFinderTab failed: None'
'Products.ExtendedPathIndex'	'OK!'
'Products.ExternalEditor'	'OK!'
'Products.ExternalStorage'	'Download Products.ExternalStorage failed: None'
'Products.FCKeditor'	'OK!'
'Products.FacultyStaffDirectory'	'OK!'
'Products.GenericSetup'	'OK!'
'Products.GroupUserFolder'	'OK!'
'Products.ImageRepository'	'OK!'
'Products.LDAPMultiPlugins'	'OK!'
'Products.LDAPUserFolder'	'OK!'
'Products.LTOnlineTest'	'OK!'
'Products.LinguaPlone'	'OK!'
'Products.ManagableIndex'	'OK!'
'Products.Maps'	'OK!'
'Products.MemcachedManager'	'OK!'
'Products.MetaWeblogPASPlugin'	'OK!'
'Products.NuPlone'	'OK!'
'Products.OFolder'	'OK!'
'Products.OpenXml'	'OK!'
'Products.PASGroupsFromLDAP'	'OK!'
'Products.PDBDebugMode'	'OK!'
'Products.PageCacheManager'	'OK!'
'Products.PasswordResetTool'	'OK!'
'Products.PlacelessTranslationService'	'OK!'
'Products.PloneArticle'	'OK!'
'Products.PloneFlashUpload'	'pkgsys.setup_args failed: Unrecognized license: Zope Public License (ZPL) Version 2.1'
'Products.PloneFormGen'	'Download Products.PloneFormGen failed: None'
'Products.PloneGetPaid'	'OK!'
'Products.PloneGlossary'	'OK!'
'Products.PloneHelpCenter'	'OK!'
'Products.PloneKeywordManager'	'OK!'
'Products.PloneLDAP'	'pkgsys.setup_args failed: Unrecognized license: Zope Public License 2.1'
'Products.PloneLanguageTool'	'OK!'
'Products.PlonePAS'	'OK!'
'Products.PloneQueueCatalog'	'OK!'
'Products.PloneSoftwareCenter'	'OK!'
'Products.PloneStatCounter'	'OK!'
'Products.Ploneboard'	'OK!'
'Products.PluggableAuthService'	'OK!'
'Products.PluginRegistry'	'OK!'
'Products.Poi'	'OK!'
'Products.PolicyHTTPCacheManager'	'OK!'
'Products.PrintingMailHost'	'OK!'
'Products.PyConBrasil'	'OK!'
'Products.PythonField'	'Download Products.PythonField failed: None'
'Products.QueueCatalog'	'Download Products.QueueCatalog failed: None'
'Products.Quills'	'OK!'
'Products.QuillsEnabled'	'OK!'
'Products.QuillsEnabledRemoteBlogging'	'OK!'
'Products.QuillsRemoteBlogging'	'OK!'
'Products.RedirectionTool'	'OK!'
'Products.Reflecto'	'OK!'
'Products.Relations'	'OK!'
'Products.RichDocument'	'OK!'
'Products.RichImage'	'OK!'
'Products.SQLAlchemyDA'	'Download Products.SQLAlchemyDA failed: None'
'Products.SecureMailHost'	'OK!'
'Products.SecureMaildropHost'	'OK!'
'Products.SimpleAttachment'	'OK!'
'Products.SmartColorWidget'	'OK!'
'Products.SmartPrintNG'	'OK!'
'Products.TALESField'	'Download Products.TALESField failed: None'
'Products.TemplateCacheManager'	'OK!'
'Products.TemplateFields'	'Download Products.TemplateFields failed: None'
'Products.TextIndexNG3'	'OK!'
'Products.TinyMCE'	'OK!'
'Products.TrustedExecutables'	'OK!'
'Products.ZMySQLDA'	'pkgsys.setup_args failed: Unrecognized license: Zope Public License (ZPL) Version 1.0'
'Products.ZopeProfiler'	'OK!'
'Products.ZopeVersionControl'	'OK!'
'Products.basesyndication'	'OK!'
'Products.contentmigration'	'OK!'
'Products.croppingimage'	'OK!'
'Products.csvreplicata'	'OK!'
'Products.eXtremeManagement'	'OK!'
'Products.fatsyndication'	'OK!'
'Products.feedfeeder'	'OK!'
'Products.i18ntestcase'	'OK!'
'Products.membrane'	'OK!'
'Products.plone-gs'	'OK!'
'Products.plonehrm'	'OK!'
'Products.pluggablecatalog'	'OK!'
'Products.remember'	'OK!'
'Products.rpcauth'	'OK!'
'Products.salesforcebaseconnector'	'OK!'
'Products.salesforcepfgadapter'	'OK!'
'Products.slideshowfolder'	'OK!'
'Products.statusmessages'	'OK!'
'Products.whoopass'	'OK!'
'Products.zope2makesite'	'OK!'
'ProfilingProxy'	'OK!'
'PromoPlanSainsbury'	'Download PromoPlanSainsbury failed: None'
'ProxyHTTPServer'	'Unpack ProxyHTTPServer failed: Unsupported archive type'
'ProxyTypes'	'OK!'
'PsychoPy'	'Get package args failed: ImportError: No module named numpy'
'Psychotic'	'OK!'
'PuLP'	'Unpack PuLP failed: Unsupported archive type'
'PuSSH'	'Download PuSSH failed: None'
'Putty'	'Download Putty failed: None'
'PyAIML'	'Download PyAIML failed: None'
'PyAMF'	'OK!'
'PyAffix'	'OK!'
'PyAppleSMS'	'OK!'
'PyAudio'	'OK!'
'PyBFD'	'Download PyBFD failed: None'
'PyBackend'	'Download PyBackend failed: None'
'PyBeat'	'OK!'
'PyBindGen'	'Unpack PyBindGen failed: Unsupported archive type'
'PyBluez'	'OK!'
'PyBuilder for Py2exe'	'Invalid name: None'
'PyCAPTCHA'	'Download PyCAPTCHA failed: None'
'PyCDDB'	'Download PyCDDB failed: None'
'PyCRUD'	'OK!'
'PyCSC'	'OK!'
'PyCY'	'OK!'
'PyCal'	'OK!'
'PyChecker'	'Download PyChecker failed: None'
'PyChem'	'Download PyChem failed: None'
'PyChess'	'Download PyChess failed: None'
'PyChurch'	'Download PyChurch failed: None'
'PyCoCuMa'	'Download PyCoCuMa failed: None'
'PyComicsViewer'	'Download PyComicsViewer failed: None'
'PyCommunity'	'Download PyCommunity failed: None'
'PyCon-UK-2007-PyQt-and-Qt-Designer'	'Unpack PyCon-UK-2007-PyQt-and-Qt-Designer failed: Unsupported archive type'
'PyConquer'	'Download PyConquer failed: None'
'PyContainer'	'OK!'
'PyContext'	'OK!'
'PyDADL'	'Download PyDADL failed: None'
'PyDAV'	'OK!'
'PyDBC'	'Download PyDBC failed: None'
'PyDDE'	'Download PyDDE failed: None'
'PyDO'	'pkgsys.setup_args failed: Unrecognized license: GPL/BSD'
'PyDS'	"Download PyDS failed: Download error for http://kenny.gws-online.de/~gb/pyds-latest.tar.gz: (111, 'Connection refused')"
'PyDbLite'	'Download PyDbLite failed: '
'PyDicia'	'OK!'
'PyDiscord'	'Download PyDiscord failed: None'
'PyDispatcher'	'Download PyDispatcher failed: None'
'PyDumpFS'	'OK!'
'PyFFI'	'Download PyFFI failed: '
'PyFIT'	'Download PyFIT failed: '
'PyFTGL'	'OK!'
'PyFest'	'Download PyFest failed: None'
'PyFileMaker'	'pkgsys.setup_args failed: Unrecognized license: http://www.opensource.org/licenses/bsd-license.php'
'PyFlow'	'OK!'
'PyGEP'	'OK!'
'PyGMP'	'Download PyGMP failed: None'
'PyGObject'	'Get package args failed: EOFError: EOF when reading a line'
'PyGTK'	'Get package args failed: EOFError: EOF when reading a line'
'PyGTKCodeBuffer'	'OK!'
'PyGoogleDesktop'	'Download PyGoogleDesktop failed: None'
'PyGoogleSuggest'	'Download PyGoogleSuggest failed: None'
'PyGooglism'	'Download PyGooglism failed: None'
'PyGq'	'Download PyGq failed: None'
'PyGreSQL'	'OK!'
'PyGridToolkit'	'Download PyGridToolkit failed: None'
'PyGtkImageView'	'Download PyGtkImageView failed: Unexpected HTML page found at http://trac.bjourne.webfactional.com/attachment/wiki/WikiStart/pygtkimageview-1.1.0.tar.gz'
'PyHesiod'	'OK!'
'PyHurd'	'OK!'
'PyHyphen'	'OK!'
'PyICU'	'OK!'
'PyID3'	'Download PyID3 failed: None'
'PyIMSL'	'Download PyIMSL failed: None'
'PyISAPIe'	'Unpack PyISAPIe failed: Unsupported archive type'
'PyJaw'	'Download PyJaw failed: '
'PyKQueue'	'Download PyKQueue failed: '
'PyKoan'	'Download PyKoan failed: None'
'PyLevy'	'OK!'
'PyLexer'	'Unpack PyLexer failed: Unsupported archive type'
'PyLoadL'	'Get package args failed: '
'PyLogo'	'OK!'
'PyLucid'	'Download PyLucid failed: '
'PyMML'	'Get package args failed: ImportError: No module named numpy.numarray'
'PyMOTW'	'OK!'
'PyMPlayer'	'OK!'
'PyMTP'	'OK!'
'PyMca'	'Download PyMca failed: None'
'PyMedia'	'Get package args failed: EOFError: EOF when reading a line'
'PyMek'	'Download PyMek failed: None'
'PyMenu'	'Download PyMenu failed: None'
'PyMetis'	'pkgsys.setup_args failed: Unrecognized license: wrapper: MIT/code: Free for research and non-commercial use'
'PyMonitor'	'Download PyMonitor failed: None'
'PyNGL'	'Download PyNGL failed: None'
'PyNIO'	'Download PyNIO failed: None'
'PyNN'	'pkgsys.setup_args failed: Unrecognized license: CeCILL http://www.cecill.info/'
'PyNomo'	'Download PyNomo failed: None'
'PyNum2Word'	'Download PyNum2Word failed: None'
'PyODE'	'OK!'
'PyORBit'	'OK!'
'PyORQ'	'Download PyORQ failed: None'
'PyOSG'	'OK!'
'PyOoHtml'	'Unpack PyOoHtml failed: Unsupported archive type'
'PyOpenGL'	'OK!'
'PyOpenGL-Demo'	'Download PyOpenGL-Demo failed: None'
'PyPE'	'Download PyPE failed: None'
'PyPI-Browser'	'OK!'
'PyPayflowPro'	'Download PyPayflowPro failed: None'
'PyPedal'	'Download PyPedal failed: None'
'PyPerforce'	'Download PyPerforce failed: None'
'PyPosta'	'Download PyPosta failed: None'
'PyPreval'	'OK!'
'PyProtocols'	'Get package args failed: '
'PyPubSub'	'OK!'
'PyQLogger'	'Get package args failed: ImportError: No module named qt'
'PyQNet'	'Download PyQNet failed: None'
'PyQStat'	'Download PyQStat failed: None'
'PyQe'	'Download PyQe failed: None'
'PyQemu'	'OK!'
'PyQt'	'Unpack PyQt failed: Unsupported archive type'
'PyQuante'	'Download PyQuante failed: None'
'PyRA2'	'Download PyRA2 failed: None'
'PyRAF'	'Download PyRAF failed: None'
'PyRRD'	'OK!'
'PyRTF'	'Download PyRTF failed: None'
'PySCeS'	'Get package args failed: '
'PyScript'	'OK!'
'PyServID'	'Download PyServID failed: None'
'PySimpleXML'	"Download PySimpleXML failed: Download error for https://shellsage.com/projects/PySimpleXML/1.0/dist/PySimpleXML-1.0.tar.gz: (111, 'Connection refused')"
'PySndObj'	'Download PySndObj failed: None'
'PySol'	'Unpack PySol failed: Unsupported archive type'
'PySorting'	'Download PySorting failed: None'
'PySoy'	'OK!'
'PyStemmer'	"pkgsys.setup_args failed: 'list' object has no attribute 'lower'"
'PyStocks'	'Download PyStocks failed: None'
'PySyck'	'OK!'
'PyTM'	'Download PyTM failed: None'
'PyTVision'	"pkgsys.setup_args failed: 'NoneType' object is unsubscriptable"
'PyTalpa'	'OK!'
'PyTesser'	'Download PyTesser failed: None'
'PyTester'	'OK!'
'PyTone'	'OK!'
'PyTuner'	'Download PyTuner failed: None'
'PyUGraph'	'OK!'
'PyUI'	'Download PyUI failed: None'
'PyUID'	'Download PyUID failed: None'
'PyUMLGraph'	'Download PyUMLGraph failed: None'
'PyUblas'	'OK!'
'PyUblasExt'	'Get package args failed: ImportError: No module named numpy'
'PyUniversalLibrary'	'Download PyUniversalLibrary failed: None'
'PyVISA'	"Unpack PyVISA failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'PyVTK'	'OK!'
'PyWITS'	'OK!'
'PyWavelets'	'OK!'
'PyWeather'	'OK!'
'PyWebDAV'	'OK!'
'PyWebRun'	'Unpack PyWebRun failed: Unsupported archive type'
'PyWikipediaBot'	'Download PyWikipediaBot failed: None'
'PyX'	"Download PyX failed: (104, 'Connection reset by peer')"
'PyXAPI'	'OK!'
'PyXML'	'OK!'
'PyXMLSec'	'OK!'
'PyYAML'	'OK!'
'PyZ3950'	'pkgsys.setup_args failed: Unrecognized license: X'
'PyZenity'	"Download PyZenity failed: Can't download http://www.brianramos.com/software/PyZenity/PyZenity-0.1.1.tar.gz: 404 Not Found"
'PyZerg'	'Download PyZerg failed: None'
'Pyastra'	'OK!'
'PycaWM'	'Unpack PycaWM failed: Unsupported archive type'
'PyderWeb'	'Unpack PyderWeb failed: Unsupported archive type'
'Pygame'	'Get package args failed: EOFError: EOF when reading a line'
'Pygments'	'OK!'
'Pyjamas-Desktop'	"Unpack Pyjamas-Desktop failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'Pylesystem'	'Download Pylesystem failed: None'
'Pyllow'	'Download Pyllow failed: None'
'Pylon'	'Download Pylon failed: None'
'Pylons'	'OK!'
'PylonsGenshi'	'OK!'
'Pymultitool'	"Download Pymultitool failed: Download error for http://download.rubycube.fr/pymultitool/pymultitool-2007.01a.tar.gz: (110, 'Connection timed out')"
'Pyndex'	'Download Pyndex failed: None'
'Pyphant'	'Download Pyphant failed: None'
'Pyphant-ImageProcessing'	'Download Pyphant-ImageProcessing failed: None'
'Pyphant-Statistics'	'Download Pyphant-Statistics failed: None'
'Pyreb'	'Get package args failed: ImportError: No module named wx'
'Pyresize'	'Download Pyresize failed: None'
'Pyrex'	'OK!'
'Pyro'	'Download Pyro failed: None'
'Pyro Robotics'	'Invalid name: None'
'Pyslice'	'OK!'
'PyternetBrowser'	'Download PyternetBrowser failed: None'
'Python'	'Download Python failed: '
'Python Computer Graphics Kit (cgkit)'	'Invalid name: None'
'Python Database Objects (PDO)'	'Invalid name: None'
'Python SAP RFC module'	'Invalid name: None'
'Python Xlib'	'Invalid name: None'
'Python library for GDS'	'Invalid name: None'
'Python-Amazon'	'Unpack Python-Amazon failed: Unsupported archive type'
'Python-GDAL'	'Download Python-GDAL failed: None'
'Python-WebDAV-Library'	'OK!'
'PythonCard'	'Download PythonCard failed: None'
'PythonCardPrototype'	'Download PythonCardPrototype failed: None'
'PythonEggTools'	'OK!'
'PythonMagick'	'Download PythonMagick failed: None'
'PythonMagickWand'	'Download PythonMagickWand failed: None'
'PythonNURBS'	"Unpack PythonNURBS failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'PythonPerl'	"Download PythonPerl failed: Can't download http://ece.fsa.ucl.ac.be/bobsomer/PythonPerl.tgz: 404 Not Found"
'PythonReports'	'Download PythonReports failed: None'
'PythonRoot'	'Download PythonRoot failed: None'
'PythonTidy'	'Download PythonTidy failed: None'
'Pythonutils'	'Get package args failed: SyntaxError: from __future__ imports must occur at the beginning of the file'
'Pyvox'	'Unpack Pyvox failed: Unsupported archive type'
'PyxMPI'	"Download PyxMPI failed: Can't download http://jcsmr.anu.edu.au/org/dmb/compgen/PyxMPI-1.0.tar.gz: 404 Not Found"
'QGL'	'OK!'
'QLCLI'	'Download QLCLI failed: None'
'QPS'	'OK!'
'Quadtree'	'OK!'
'QuantLib-Python'	'Download QuantLib-Python failed: None'
'QuickWiki'	'OK!'
'Quixote'	'OK!'
'Quotient'	'Get package args failed: ImportError: No module named epsilon'
'RDFAlchemy'	'OK!'
'RDFCalendar'	'OK!'
'RDFFormats'	'OK!'
'RDFMessage'	'OK!'
'RLToolkit'	'Download RLToolkit failed: None'
'RO'	'OK!'
'RPy'	'Download RPy failed: None'
'RPyC'	'Download RPyC failed: None'
'RUR-PLE'	'Download RUR-PLE failed: None'
'Rabbyt'	'OK!'
'Rakun'	'Download Rakun failed: None'
'Rakun XML Application Platform'	'Invalid name: None'
'Rat'	'OK!'
'Rect'	'OK!'
'Recur'	"process failed: Invalid package name: 'dev-python/recur-_rc105'"
'Refaction'	'Download Refaction failed: None'
'Reindent'	'OK!'
'Reinforcement Learning Toolkit'	'Invalid name: None'
'RelStorage'	'OK!'
'Renamer'	'OK!'
'Reporting'	'Download Reporting failed: None'
'ResourcePackage'	'Download ResourcePackage failed: None'
'Restin'	'Download Restin failed: None'
'Restler'	'OK!'
'RestrictedPython'	'OK!'
'RhubarbTart'	'OK!'
'Robin'	"Download Robin failed: Can't download http://prdownloads.sourceforge.net/[..]robin-py/robin-1.0.1.src.tar.gz?download: 302 The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound"
'Rocky Bernstein'	'Invalid name: None'
'Roma'	'Download Roma failed: None'
'RouteFS'	'OK!'
'Routes'	'OK!'
'RssPanel'	'Get package args failed: '
'RssWidget'	'Unpack RssWidget failed: Unsupported archive type'
'RstDoc'	"process failed: Invalid package name: 'dev-python/rstdoc-0.9.0-0.9.0'"
'Rtree'	'OK!'
'Rugg'	'Get package args failed: '
'RunSnakeRun'	'OK!'
'Ruya'	'Download Ruya failed: None'
'S3 Backup'	'Invalid name: None'
'S3plus'	'Download S3plus failed: None'
'SANE'	'Download SANE failed: None'
'SBM Emulator and Assembler'	'Invalid name: None'
'SC'	'OK!'
'SCons'	'Get package args failed: '
'SDXF'	'Download SDXF failed: None'
'SE'	"pkgsys.setup_args failed: 'list' object has no attribute 'split'"
'SFLvault'	'Download SFLvault failed: None'
'SFLvault-client'	'Download SFLvault-client failed: None'
'SFLvault-common'	'Download SFLvault-common failed: None'
'SFLvault-server'	'Download SFLvault-server failed: None'
'SIP'	'Download SIP failed: '
'SIPVicious'	'Unpack SIPVicious failed: Unsupported archive type'
'SMSShell'	"Unpack SMSShell failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'SNA'	'Download SNA failed: None'
'SNMP framework for Python'	'Invalid name: None'
'SPARC'	'Download SPARC failed: None'
'SPARQL'	'Download SPARQL failed: None'
'SPE'	'Download SPE failed: None'
'SPYCE - Python Server Pages'	'Invalid name: None'
'SPyDI'	'Download SPyDI failed: '
'SPyRE'	'Download SPyRE failed: None'
'SPyRO'	'Download SPyRO failed: '
'SQLAlchemy'	'OK!'
'SQLAlchemyAggregator'	'OK!'
'SQLAlchemyManager'	'OK!'
'SQLChemistry'	'Download SQLChemistry failed: None'
'SQLEdit'	"Download SQLEdit failed: Can't download http://www.mired.org/downloads/SQLEdit-1.1.tar.gz: 404 Not Found"
'SQLObject'	'OK!'
'SQLObject2'	"Download SQLObject2 failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'SWMixer'	'OK!'
'Salamoia'	'Download Salamoia failed: '
'SalvationFocus'	'Download SalvationFocus failed: None'
'Sam-I-Am'	'OK!'
'Sancho'	'pkgsys.setup_args failed: Unrecognized license: see LICENSE.txt'
'Sandbox'	'OK!'
'Sandbox.py'	'Download Sandbox.py failed: None'
'Satchmo'	'OK!'
'Savitzky-Golay Filters'	'Invalid name: None'
'Scapy'	'Download Scapy failed: None'
'Schevo'	'OK!'
'SchevoDurus'	'OK!'
'SchevoGears'	'OK!'
'SchevoGtk'	'OK!'
'SchevoPolicy'	'OK!'
'SchevoPylons'	'Get package args failed: '
'SchevoSql'	'OK!'
'SchevoWeb'	'OK!'
'SchevoWsgi'	'OK!'
'SchevoZodb'	'OK!'
'SciMath'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'ScientificPython'	'Download ScientificPython failed: None'
'Scimitar'	'Download Scimitar failed: None'
'ScriptTest'	'OK!'
'ScriptTranscluder'	'OK!'
'ScriptUtils'	'Download ScriptUtils failed: None'
'Scriptaculous'	'Get package args failed: ImportError: No module named turbogears.finddata'
'SearchBar'	'Unpack SearchBar failed: Unsupported archive type'
'SegmentHelper'	'Download SegmentHelper failed: None'
'Select-Shuttle'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Selecting'	'OK!'
'SendKeys'	'Download SendKeys failed: '
'ServPDF'	"Download ServPDF failed: 'ascii' codec can't encode character u'\\u2329' in position 60: ordinal not in range(128)"
'ServPDF and ServPDF-OO'	'Invalid name: None'
'Shapely'	'OK!'
'Shatranj Chess Program'	'Invalid name: None'
'Shed Skin'	'Invalid name: None'
'ShrinkSafeSolo'	'OK!'
'SiDI'	'Download SiDI failed: None'
'Silva'	'Download Silva failed: '
'SilverCity'	'Download SilverCity failed: None'
'SimPy'	'Download SimPy failed: None'
'Simple Python Fixed-Point Module'	'Invalid name: None'
'SimpleAuth-client'	'OK!'
'SimpleExampleEgg'	'OK!'
'SimpleOSC'	'Download SimpleOSC failed: None'
'SimpleParse'	'Download SimpleParse failed: None'
'SimpleRDFServer'	'OK!'
'SimpleSiteTemplate'	'OK!'
'Sine'	'Get package args failed: ImportError: No module named epsilon'
'Sipie'	'OK!'
'SizeDupe Reporter'	'Invalid name: None'
'SkunkWeb'	'Unpack SkunkWeb failed: Unsupported archive type'
'Skype4Py'	'OK!'
'Sliki'	'Download Sliki failed: None'
'Smorgasbord'	'Download Smorgasbord failed: None'
'SnakeSQL'	'Get package args failed: '
'Snakelets'	'Download Snakelets failed: None'
'Snobol'	"Download Snobol failed: Can't download http://www.cosc.canterbury.ac.nz/greg.ewing/Snobol.tar.gz: 404 Not Found"
'SocksiPy'	'Download SocksiPy failed: None'
'Softlets'	'Download Softlets failed: Unexpected HTML page found at http://prdownload.berlios.de/tasklets/Softlets-0.1.tar.gz'
'Sophie'	'OK!'
'SoundAnalyse'	'OK!'
'SourceBrowser'	'Download SourceBrowser failed: None'
'Soya'	'Download Soya failed: None'
'Spawning'	'OK!'
'Speedometer'	'OK!'
'Sphinx'	'OK!'
'SpideyAgent'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Spiff Guard'	'Invalid name: None'
'Spiff Integrator'	'Invalid name: None'
'Spiff Warehouse'	'Invalid name: None'
'Spiff WikiMarkup'	'Invalid name: None'
'Spiff Workflow'	'Invalid name: None'
'SpreadModule'	'OK!'
'Sprite Craft 2D Engine'	'Invalid name: None'
'Squeezer'	"process failed: Invalid package name: 'dev-python/squeezer'"
'StableDict'	'OK!'
'StandOut'	'Download StandOut failed: None'
'StarScream'	'OK!'
'StoneageHTML'	'OK!'
'Strangle'	'OK!'
'Streaming'	'Download Streaming failed: None'
'StructArray'	'OK!'
'StructuredText'	'OK!'
'SubCss'	'OK!'
'SubicPOS'	'Download SubicPOS failed: None'
'Surukuku'	'Download Surukuku failed: '
'Sutekh'	'Download Sutekh failed: None'
'SvnReporter'	'OK!'
'Swish-E'	"Download Swish-E failed: Can't download http://swish-e.org/Download/swish-e-2.4.0-pr1.tar.gz: 404 Not Found"
'SwishE'	'OK!'
'Switzerland'	'Download Switzerland failed: None'
'SyFi'	'Download SyFi failed: None'
'Sydebar'	'OK!'
'SymbolType'	'OK!'
'Symbolic'	'Download Symbolic failed: None'
'Sysyphus'	'OK!'
'TANGO Project - ALGENCAN'	'Invalid name: None'
'TDS200'	'Download TDS200 failed: None'
'TG CSS Tools'	'Invalid name: None'
'TG Framework'	'Invalid name: None'
'TGBooleanFormWidget'	'Download TGBooleanFormWidget failed: None'
'TGCaptcha'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGCombine'	'Download TGCombine failed: None'
'TGExpandingFormWidget'	'OK!'
'TGExtJS'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGFKLookup'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGFastData'	'OK!'
'TGFirebugLite'	'Download TGFirebugLite failed: None'
'TGFusionCharts'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGLightWindow'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGNewTraversal'	'OK!'
'TGOpenIDLogin'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGPaginate'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGPriFlash'	'OK!'
'TGSociable'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGWebServices'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TGYUI'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TLS Lite'	'Invalid name: None'
'TOM'	'Download TOM failed: None'
'TTFQuery'	'Download TTFQuery failed: None'
'TZMud'	'Unpack TZMud failed: Unsupported archive type'
'TabBrasil'	'OK!'
'Tahchee'	'Get package args failed: '
'TaskCoach'	'Download TaskCoach failed: None'
'TaskTracker'	"process failed: Invalid package name: 'dev-python/tasktracker'"
'Tasty'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TechWriter'	'OK!'
'Tempita'	'OK!'
'TemplateBrowser'	'Get package args failed: ImportError: No module named turbogears.finddata'
'Tenjin'	'OK!'
'Tesla'	'OK!'
'TestGears'	"Download TestGears failed: Can't download http://www.turbogears.org/TestGears-0.2.tar.gz: 404 Not Found"
'TestGen4Web-Python'	'OK!'
'TestOpenID'	'Download TestOpenID failed: None'
'Testido'	"Download Testido failed: Download error for http://www.blazingthings.com/dev/testido/Testido-0.1.tar.gz: (110, 'Connection timed out')"
'TextRPG'	'OK!'
'The Big Picture'	'Invalid name: None'
'TheLoadOfTheLoad'	'Download TheLoadOfTheLoad failed: None'
'TheMingBlogger'	'OK!'
'TheMingServer'	'OK!'
'TheMingWiki'	'OK!'
'TidyWare'	'OK!'
'TileCache'	'OK!'
'TimeDuration'	'OK!'
'TimePeriod'	'OK!'
'Toboso'	'Get package args failed: ImportError: No module named quixote.qx_distutils'
'Toolserver'	'Get package args failed: ImportError: cannot import name gen_usage'
'ToscaWidgets'	'OK!'
'Trac'	'OK!'
